STATS_YM,STATS_RM_CN,ACDMCR_TY_NM,RANK_NM,CNSLT_CN,CNSLT_CN_VALUE
201906,2019년1월1일~6월26일,초등학교,6위,생활습관/외모,1
201906,2019년1월1일~6월26일,초등학교,7위,진로,1
201906,2019년1월1일~6월26일,초등학교,8위,-,0
201906,2019년1월1일~6월26일,초등학교,9위,-,0
201906,2019년1월1일~6월26일,초등학교,10위,-,0
201906,2019년1월1일~6월26일,초등학교,11위,-,0
201906,2019년1월1일~6월26일,중학교,1위,기타,54.5
201906,2019년1월1일~6월26일,중학교,2위,성격,16.9
201906,2019년1월1일~6월26일,중학교,3위,학업,10.4
201906,2019년1월1일~6월26일,중학교,4위,인터넷/스마트폰,6.9
201906,2019년1월1일~6월26일,중학교,5위,대인관계,4.8
201906,2019년1월1일~6월26일,중학교,6위,일탈 및 비행,2.2
201906,2019년1월1일~6월26일,중학교,7위,진로,1.7
201906,2019년1월1일~6월26일,중학교,8위,가족,1.3
201906,2019년1월1일~6월26일,중학교,9위,정신건강,0.9
201906,2019년1월1일~6월26일,중학교,10위,생활습관/외모,0.4
201906,2019년1월1일~6월26일,중학교,11위,-,0
201906,2019년1월1일~6월26일,고등학교,1위,진로,39.5
201906,2019년1월1일~6월26일,고등학교,2위,일탈 및 비행,18.9
201906,2019년1월1일~6월26일,고등학교,3위,생활습관/외모,13
201906,2019년1월1일~6월26일,고등학교,4위,학업,8.4
201906,2019년1월1일~6월26일,고등학교,5위,대인관계,6.1
201906,2019년1월1일~6월26일,고등학교,6위,성격,4.2
201906,2019년1월1일~6월26일,고등학교,7위,성,3.5
201906,2019년1월1일~6월26일,고등학교,8위,기타,2.9
201906,2019년1월1일~6월26일,고등학교,9위,가족,2.7
201906,2019년1월1일~6월26일,고등학교,10위,인터넷/스마트폰,0.3
201906,2019년1월1일~6월26일,고등학교,11위,정신건강,0.3
201905,2019년1월1일~5월31일,초등학교,1위,기타,31.6
201905,2019년1월1일~5월31일,초등학교,2위,대인관계,22.8
201905,2019년1월1일~5월31일,초등학교,3위,학업,20.3
201905,2019년1월1일~5월31일,초등학교,4위,가족,16.5
201905,2019년1월1일~5월31일,초등학교,5위,성격,6.3
201905,2019년1월1일~5월31일,초등학교,6위,생활습관/외모,1.3
201905,2019년1월1일~5월31일,초등학교,7위,진로,1.3
201905,2019년1월1일~5월31일,초등학교,8위,-,0
201905,2019년1월1일~5월31일,초등학교,9위,-,0
201905,2019년1월1일~5월31일,초등학교,10위,-,0
201905,2019년1월1일~5월31일,초등학교,11위,-,0
201905,2019년1월1일~5월31일,중학교,1위,기타,52.4
201905,2019년1월1일~5월31일,중학교,2위,성격,19.7
201905,2019년1월1일~5월31일,중학교,3위,학업,8.2
201905,2019년1월1일~5월31일,중학교,4위,인터넷/스마트폰,6.8
201905,2019년1월1일~5월31일,중학교,5위,대인관계,4.8
201905,2019년1월1일~5월31일,중학교,6위,일탈 및 비행,3.4
201905,2019년1월1일~5월31일,중학교,7위,진로,2.7
201905,2019년1월1일~5월31일,중학교,8위,가족,1.4
201905,2019년1월1일~5월31일,중학교,9위,정신건강,0.7
